asset,category,priority,duration_seconds,recommendation
atelier-nord,project,A,4,animate
flowstack,project,B,4,subtle
masterclass-pro,project,A,4,animate
casa-verde,project,B,4,subtle
zenfit,project,A,4,animate
glow-skin,project,A,4,animate
sample-meta-ads-1,service,C,4,optional
sample-meta-ads-2,service,A,4,animate
sample-meta-ads-3,service,A,4,animate
sample-paid-social-1,service,B,4,animate
sample-paid-social-2,service,B,4,animate
sample-paid-social-3,service,C,4,static
sample-funnels-cro-1,service,C,4,static
sample-funnels-cro-2,service,A,4,animate
sample-funnels-cro-3,service,B,4,subtle
sample-ugc-1,service,B,4,animate
sample-ugc-2,service,A,4,animate
sample-ugc-3,service,C,4,static
sample-auditorias-1,service,B,4,animate
sample-auditorias-2,service,C,4,optional
sample-auditorias-3,service,A,4,animate
bg-metricas,background,A,6,animate
bg-servicios,background,C,6,optional
bg-proceso,background,A,6,animate
bg-testimonios,background,C,6,optional
bg-contacto,background,A,6,animate
